產品編號,品名,口味/顏色,大小,規格-數量,品牌,進貨人/廠商,規格,計量單位,標準進價,售價A,售價B,建議售價,主類別,次類別,內部類別,備註,,(廠商名稱),品名規格,,
1A0002027,濃湯,港式酸辣,,,御昌商行(小蔡),康寶,御昌*包,包,26,0,0,30,其他,康寶,,,,御昌商行(小蔡),濃湯/港式酸辣/康寶/御昌*包,,
1A0002029,濃湯,火腿玉米,,,御昌商行(小蔡),康寶,御昌2包入*封,封,52,60,60,65,其他,康寶,,,,御昌商行(小蔡),濃湯/火腿玉米/康寶/御昌2包入*封,,
1A0002031,濃湯,金黃玉米,,,御昌商行(小蔡),康寶,御昌2包入*封,封,52,60,60,65,其他,康寶,,,,御昌商行(小蔡),濃湯/金黃玉米/康寶/御昌2包入*封,,
1A0002032,濃湯,港式酸辣,,,御昌商行(小蔡),康寶,御昌2包入*封,封,52,60,60,65,其他,康寶,,,,御昌商行(小蔡),濃湯/港式酸辣/康寶/御昌2包入*封,,
1A0002033,雞粉,康寶,,,御昌商行(小蔡),御昌,1kg*6罐入*罐,罐,200,230,240,240,其他,康寶,,,,御昌商行(小蔡),雞粉/康寶/御昌/1kg*6罐入*罐,,
1A0002034,雞粉,康寶,,,御昌商行(小蔡),御昌,1kg*6罐入*箱,箱,1200,1290,1320,1320,其他,康寶,,,,御昌商行(小蔡),雞粉/康寶/御昌/1kg*6罐入*箱,,
1A0002035,咖哩塊,蘋果甜味,,,御昌商行(小蔡),御昌,御昌*1K*盒,盒,205,250,250,260,其他,咖哩,,,,御昌商行(小蔡),咖哩塊/蘋果甜味/佛蒙特/御昌/1K*盒***,,
1A0002036,鮪魚片,愛之味,,,御昌商行(小蔡),185g,185g*48入*罐,罐,42,45,0,55,其他,罐頭,,,,御昌商行(小蔡),鮪魚片/愛之味/御昌/185g/48入*罐,,
1A0002037,濃湯,雞蓉玉米,,,御昌商行(小蔡),康寶,御昌*包,包,26,0,0,30,其他,康寶,,,,御昌商行(小蔡),濃湯/雞蓉玉米/康寶/御昌*包,,
1A0002038,濃湯,雞蓉玉米,,,御昌商行(小蔡),康寶,御昌2包入*封,封,52,60,60,65,其他,康寶,,,,御昌商行(小蔡),濃湯/雞蓉玉米/康寶/御昌2包入*封,,
1A0002040,鮮味炒手,康寶,,,御昌商行(小蔡),康寶,12入*包,包,97,115,120,125,其他,康寶,,,,御昌商行(小蔡),鮮味炒手/康寶/御昌500g*12入*包,,
1A0002041,鮮味炒手,康寶,,,御昌商行(小蔡),康寶,12入*箱,箱,1164,1320,0,1200,其他,康寶,,,,御昌商行(小蔡),鮮味炒手/康寶/御昌500g*12入*箱,,
1A0002042,鮪魚片,愛之味,,,御昌商行(小蔡),185g,185g*48入*箱,箱,2016,0,0,2200,其他,罐頭,,,,御昌商行(小蔡),鮪魚片/愛之味/御昌/185g/48入*箱,,
1A0002043,雞粉,小,,,御昌商行(小蔡),康寶,御昌24入*箱,箱,1800,1920,1920,2000,其他,康寶,,,,御昌商行(小蔡),雞粉/小/康寶/御昌24入*箱,,
1A0002044,雞粉,小,,,御昌商行(小蔡),康寶,御昌24罐入*罐,罐,75,80,80,85,其他,康寶,,,,御昌商行(小蔡),雞粉/小/康寶/御昌24罐入*罐,,
1A0002045,鮪魚片,愛之味,,,御昌商行(小蔡),185g,185g*3入*封,封,126,150,0,165,其他,罐頭,,,,御昌商行(小蔡),鮪魚片/愛之味/御昌/185g/3入*封,,
1A0002046,咖哩塊,蘋果甜味,,,御昌商行(小蔡),御昌,御昌*1K*20入*箱,箱,4100,4500,4500,4600,其他,咖哩,,,,御昌商行(小蔡),咖哩塊/蘋果甜味/佛蒙特/御昌/1K*20入*箱,,
1A0002047,雞湯塊,康寶,,,御昌商行(小蔡),康寶,件,件,1800,0,0,2000,調味料,調味粉,,,,御昌商行(小蔡),雞湯塊/康寶/御昌96盒入*件,,
